"","utilities","telephone_exchange_2017","office_of_radio_communication_2017","motor_vehicle_maintenance_2017","printing_and_reproduction_2017","cca_income_tax_administration_2017","telephone_exchange_2018","office_of_radio_communication_2018","motor_vehicle_maintenance_2018","printing_and_reproduction_2018","cca_income_tax_administration_2018","telephone_exchange_2019","office_of_radio_communication_2019","motor_vehicle_maintenance_2019","printing_and_reproduction_2019","cca_income_tax_administration_2019","telephone_exchange_2020","office_of_radio_communication_2020","motor_vehicle_maintenance_2020","printing_and_reproduction_2020","cca_income_tax_administration_2020"
"1","At&T Equipment","176,453","190,764","272,320","285,983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Brokered Gas Supply",NA,NA,NA,NA,"$237","$135","$190","$195","$54,123","$74,655","$101,360","$104,401","$725","$943","$1,647","$—",NA,NA,NA,NA
"3","Cellular Servicess","$547,601","$757,699","$678,215","$733,862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data Communication (Telephone)","—","10,000","51,450","—",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Electricity - Cpp",NA,NA,NA,NA,"16,242","17,608","17,451","17,975","18,958","32,340","23,912","24,629","33,680","36,639","40,034","39,625","$32,307","$33,603","$26,906","$36,340"
"6","Electricity - Other",NA,NA,NA,NA,"69,830","69,570","73,096","75,289","2,257","874","925","953",NA,NA,NA,NA,NA,NA,NA,NA
"7","Gas",NA,NA,NA,NA,"3,862","4,010","4,354","4,485","29,129","46,861","42,371","43,642","572","685","888","2,013",NA,NA,NA,NA
"8","Security & Monitoring System","38,771","23,393","21,869","23,961",NA,NA,NA,NA,"—","5,000","—","6,592","2,358","2,358","3,537","4,000",NA,NA,NA,NA
"9","Steam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"150,550","154,651","149,835","164,070"
"10","Telephone","486,822","444,081","542,715","605,580","75,420","—","80,000","155,500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Telephone-Long Distance","50,000","254","467","—",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Telephone-Ohio Bell","4,471,573","5,044,819","6,068,375","7,800,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Total","$5,771,221","$6,471,011","$7,635,411","$9,449,386","$165,591","$91,322","$175,092","$253,444","$104,467","$159,730","$168,569","$180,217","$37,334","$40,626","$46,106","$45,638","$182,857","$188,253","$176,741","$200,410"
